Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDO33,14.75,Low Fat,0.089827705,Snack Foods,114.4518,OUT017,2007,,Tier 2,Supermarket Type1,1812.3748
FDZ39,19.7,Regular,0.030169768,Meat,103.79899999999999,OUT010,1998,,Tier 3,Grocery Store,182.09752
NCJ19,18.6,Low Fat,0.118848485,Others,55.3588,OUT017,2007,,Tier 2,Supermarket Type1,874.63116
FDU01,20.25,Regular,0.0,Canned,184.6924,OUT035,2004,Small,Tier 2,Supermarket Type1,3069.3877
FDT12,6.215,Regular,0.049612317999999996,Baking Goods,224.1062,OUT035,2004,Small,Tier 2,Supermarket Type1,3558.7322
NCM18,13.0,Low Fat,0.083179333,Household,62.0194,OUT018,2009,Medium,Tier 3,Supermarket Type2,861.06525
FDP19,11.5,Low Fat,0.174497541,Fruits and Vegetables,128.8652,OUT017,2007,,Tier 2,Supermarket Type1,2226.2148
NCR42,9.105,Low Fat,0.038541712,Household,33.09,OUT049,1999,Medium,Tier 1,Supermarket Type1,496.41748
FDN10,11.5,Low Fat,0.046123804000000004,Snack Foods,118.6124,OUT046,1997,Small,Tier 1,Supermarket Type1,1693.3004
FDG44,6.13,Low Fat,0.10276898400000001,Fruits and Vegetables,54.7298,OUT017,2007,,Tier 2,Supermarket Type1,863.3809
FDQ10,12.85,Low Fat,0.033179231000000003,Snack Foods,171.5422,OUT046,1997,Small,Tier 1,Supermarket Type1,2778.2925
DRH13,8.575,Low Fat,0.023923093,Soft Drinks,105.52799999999999,OUT049,1999,Medium,Tier 1,Supermarket Type1,1400.0704
FDT52,9.695,Regular,0.047390108,Frozen Foods,245.0144,OUT013,1987,High,Tier 3,Supermarket Type1,3917.752
FDM56,16.7,Low Fat,0.070333939,Fruits and Vegetables,110.7912,OUT045,2002,,Tier 2,Supermarket Type1,1649.5298
NCO43,5.5,Low Fat,0.078832748,Others,101.5016,OUT010,1998,,Tier 3,Grocery Store,247.10854
NCV29,11.8,Low Fat,0.0,Health and Hygiene,177.2686,OUT035,2004,Small,Tier 2,Supermarket Type1,3116.9753
NCF06,6.235,Low Fat,0.020181546,Household,260.1962,OUT013,1987,High,Tier 3,Supermarket Type1,4017.4402
FDO50,16.25,Low Fat,0.078153958,Canned,91.3804,OUT035,2004,Small,Tier 2,Supermarket Type1,1286.6183
FDT59,13.65,Low Fat,0.015898191000000002,Breads,229.7668,OUT013,1987,High,Tier 3,Supermarket Type1,3694.7278
FDX40,,low fat,0.09851376,Frozen Foods,36.7164,OUT027,1985,Medium,Tier 3,Supermarket Type3,893.95166
FDE50,19.7,Regular,0.016297311999999998,Canned,186.3556,OUT017,2007,,Tier 2,Supermarket Type1,3018.9573
FDX51,9.5,Regular,0.022183497000000003,Meat,196.9452,OUT017,2007,,Tier 2,Supermarket Type1,3123.5957
NCD30,19.7,Low Fat,0.026958635,Household,98.5726,OUT018,2009,Medium,Tier 3,Supermarket Type2,1226.2458
FDK15,10.8,Low Fat,0.09833192699999999,Meat,100.5042,OUT013,1987,High,Tier 3,Supermarket Type1,1557.6239
FDL12,15.85,Regular,0.121879396,Baking Goods,61.222,OUT045,2002,,Tier 2,Supermarket Type1,855.228
FDK46,9.6,Low Fat,0.051758515,Snack Foods,259.462,OUT017,2007,,Tier 2,Supermarket Type1,3974.6113
DRH49,19.7,Low Fat,0.04126841,Soft Drinks,80.6592,OUT010,1998,,Tier 3,Grocery Store,158.28157
FDQ57,7.275,Low Fat,0.027947642,Snack Foods,146.876,OUT046,1997,Small,Tier 1,Supermarket Type1,2213.4316
FDY59,8.195,Low Fat,0.031581072,Baking Goods,93.4462,OUT017,2007,,Tier 2,Supermarket Type1,1359.6658
FDO09,13.5,Regular,0.12578499,Snack Foods,261.691,OUT018,2009,Medium,Tier 3,Supermarket Type2,3314.0405
NCG30,20.2,Low Fat,0.11229997900000001,Household,126.4046,OUT035,2004,Small,Tier 2,Supermarket Type1,1912.0776
FDM09,11.15,Regular,0.086417608,Snack Foods,168.679,OUT017,2007,,Tier 2,Supermarket Type1,2595.5425
NCN17,,Low Fat,0.054672984,Health and Hygiene,101.0358,OUT027,1985,Medium,Tier 3,Supermarket Type3,2599.6367
NCS42,8.6,Low Fat,0.0693587,Household,89.9146,OUT013,1987,High,Tier 3,Supermarket Type1,1308.9738
FDD02,,Low Fat,0.08805305199999999,Canned,117.0124,OUT019,1985,Small,Tier 1,Grocery Store,297.97296
FDE34,9.195,Low Fat,0.107801614,Snack Foods,182.3634,OUT013,1987,High,Tier 3,Supermarket Type1,3305.527
FDU38,10.8,Low Fat,0.08271731,Dairy,192.6504,OUT045,2002,,Tier 2,Supermarket Type1,2958.321
FDB33,17.75,Low Fat,0.014580168999999999,Fruits and Vegetables,157.5262,OUT046,1997,Small,Tier 1,Supermarket Type1,2525.962
NCJ29,10.6,Low Fat,0.035391991,Health and Hygiene,86.8224,OUT017,2007,,Tier 2,Supermarket Type1,1345.2874
FDZ27,7.935,Low Fat,0.017153018,Dairy,48.135,OUT035,2004,Small,Tier 2,Supermarket Type1,713.5638
FDI40,11.5,Regular,0.125498428,Frozen Foods,99.7358,OUT013,1987,High,Tier 3,Supermarket Type1,1545.5543
FDG22,17.6,Regular,0.041346719,Snack Foods,37.819,OUT013,1987,High,Tier 3,Supermarket Type1,543.2858
FDT51,11.65,Regular,0.010980551000000002,Meat,110.7544,OUT017,2007,,Tier 2,Supermarket Type1,1711.193
FDF20,12.85,Low Fat,0.033355494,Fruits and Vegetables,198.5768,OUT018,2009,Medium,Tier 3,Supermarket Type2,2831.4333
FDV50,14.3,Low Fat,0.12254803199999999,Dairy,122.17299999999999,OUT035,2004,Small,Tier 2,Supermarket Type1,1875.196
FDT02,12.6,Low Fat,0.024232347,Dairy,36.1874,OUT049,1999,Medium,Tier 1,Supermarket Type1,577.653
DRC49,8.67,Low Fat,0.065806717,Soft Drinks,144.6128,OUT017,2007,,Tier 2,Supermarket Type1,2263.5012
FDF26,6.825,Regular,0.046707264000000005,Canned,151.9998,OUT049,1999,Medium,Tier 1,Supermarket Type1,2129.2686
FDV52,20.7,Regular,0.0,Frozen Foods,118.6466,OUT035,2004,Small,Tier 2,Supermarket Type1,1407.2954
FDX59,10.195,Low Fat,0.051741590999999997,Breads,35.2558,OUT049,1999,Medium,Tier 1,Supermarket Type1,542.0914
FDV25,5.905,Low Fat,0.045643610999999994,Canned,222.0456,OUT035,2004,Small,Tier 2,Supermarket Type1,3267.0222
FDW23,,Low Fat,0.081615145,Baking Goods,38.6164,OUT027,1985,Medium,Tier 3,Supermarket Type3,859.9737
FDE53,10.895,Low Fat,0.026989658,Frozen Foods,107.728,OUT018,2009,Medium,Tier 3,Supermarket Type2,1256.9261
FDA19,7.52,Low Fat,0.055439323,Fruits and Vegetables,130.0994,OUT017,2007,,Tier 2,Supermarket Type1,1973.6434
FDH22,6.405,Low Fat,0.136300946,Snack Foods,126.0678,OUT046,1997,Small,Tier 1,Supermarket Type1,1981.352
NCO41,12.5,Low Fat,0.018833177,Health and Hygiene,97.8384,OUT013,1987,High,Tier 3,Supermarket Type1,1466.5411
FDX12,18.2,Regular,0.026211917,Baking Goods,241.3196,OUT017,2007,,Tier 2,Supermarket Type1,4101.1396
FDF17,5.19,Low Fat,0.042585419000000006,Frozen Foods,196.91099999999997,OUT013,1987,High,Tier 3,Supermarket Type1,2997.5923
FDS11,7.05,Regular,0.055671183,Breads,222.3088,OUT045,2002,,Tier 2,Supermarket Type1,3584.5793
FDR51,9.035,Regular,0.173436917,Meat,150.0708,OUT035,2004,Small,Tier 2,Supermarket Type1,2344.9653
FDT49,7.0,Low Fat,0.253421913,Canned,106.228,OUT010,1998,,Tier 3,Grocery Store,190.01306
FDC56,7.72,Low Fat,0.121419594,Fruits and Vegetables,120.244,OUT013,1987,High,Tier 3,Supermarket Type1,2046.3505
FDR13,,Regular,0.02858175,Canned,116.4492,OUT027,1985,Medium,Tier 3,Supermarket Type3,3020.5166
FDQ60,6.195,Regular,0.10935376,Baking Goods,120.4098,OUT035,2004,Small,Tier 2,Supermarket Type1,1981.5049
FDN38,6.615,Regular,0.09211484699999999,Canned,248.7408,OUT049,1999,Medium,Tier 1,Supermarket Type1,3918.542
NCL29,9.695,Low Fat,0.113844617,Health and Hygiene,157.8604,OUT013,1987,High,Tier 3,Supermarket Type1,2448.7773
FDO13,,Low Fat,0.060763988,Breakfast,164.0526,OUT027,1985,Medium,Tier 3,Supermarket Type3,3434.6692
FDE26,9.3,Low Fat,0.08936834099999999,Canned,143.8786,OUT018,2009,Medium,Tier 3,Supermarket Type2,2189.6267
FDA31,7.1,Low Fat,0.18413701,Fruits and Vegetables,172.808,OUT010,1998,,Tier 3,Grocery Store,380.07846
FDX14,13.1,Low Fat,0.07492586,Dairy,75.3354,OUT035,2004,Small,Tier 2,Supermarket Type1,1278.3788
FDA34,11.5,Low Fat,0.014890695,Starchy Foods,174.108,OUT045,2002,,Tier 2,Supermarket Type1,2855.1548
FDF26,6.825,Regular,0.046595951,Canned,153.0998,OUT013,1987,High,Tier 3,Supermarket Type1,2218.5056
FDE38,6.52,Low Fat,0.044697626,Canned,166.5842,OUT045,2002,,Tier 2,Supermarket Type1,2561.8745
DRI11,8.26,Low Fat,0.034404287,Hard Drinks,113.5834,OUT046,1997,Small,Tier 1,Supermarket Type1,1733.1129
FDQ60,,Regular,0.108844791,Baking Goods,118.5098,OUT027,1985,Medium,Tier 3,Supermarket Type3,2693.8052
FDL21,,Regular,0.007111808000000001,Snack Foods,39.348,OUT027,1985,Medium,Tier 3,Supermarket Type3,780.5285
DRC12,,Low Fat,0.037643694,Soft Drinks,192.0188,OUT027,1985,Medium,Tier 3,Supermarket Type3,4366.719
FDC47,15.0,Low Fat,0.118890636,Snack Foods,227.9694,OUT046,1997,Small,Tier 1,Supermarket Type1,3202.2393
FDE57,9.6,Low Fat,0.036358713,Fruits and Vegetables,140.0154,OUT045,2002,,Tier 2,Supermarket Type1,1814.4287
FDT14,10.695,Regular,0.127986136,Dairy,120.344,OUT045,2002,,Tier 2,Supermarket Type1,1998.5703
NCZ53,9.6,Low Fat,0.024477166,Health and Hygiene,189.6214,OUT046,1997,Small,Tier 1,Supermarket Type1,3116.486
FDE28,9.5,Regular,0.13308693300000002,Frozen Foods,230.1668,OUT018,2009,Medium,Tier 3,Supermarket Type2,3623.437
FDR19,13.5,Regular,0.159690469,Fruits and Vegetables,144.2102,OUT035,2004,Small,Tier 2,Supermarket Type1,2415.6807
NCF54,,Low Fat,0.082951105,Household,173.7422,OUT019,1985,Small,Tier 1,Grocery Store,392.12405
FDZ08,12.5,Regular,0.109992376,Fruits and Vegetables,81.1592,OUT046,1997,Small,Tier 1,Supermarket Type1,1291.8809
NCJ05,18.7,Low Fat,0.046276017,Health and Hygiene,154.2682,OUT018,2009,Medium,Tier 3,Supermarket Type2,2121.3894
FDF59,12.5,Low Fat,0.071244009,Starchy Foods,127.102,OUT046,1997,Small,Tier 1,Supermarket Type1,1894.1055
NCO05,7.27,Low Fat,0.046550645,Health and Hygiene,100.4384,OUT035,2004,Small,Tier 2,Supermarket Type1,1688.0118
FDW24,6.8,Low Fat,0.037649797,Baking Goods,49.5034,OUT018,2009,Medium,Tier 3,Supermarket Type2,631.87006
NCX42,6.36,Low Fat,0.00600295,Household,166.1526,OUT018,2009,Medium,Tier 3,Supermarket Type2,2458.0056
NCA53,11.395,LF,0.009876591,Health and Hygiene,48.2034,OUT035,2004,Small,Tier 2,Supermarket Type1,756.95056
FDI45,,Low Fat,0.06579990599999999,Fruits and Vegetables,177.0054,OUT019,1985,Small,Tier 1,Grocery Store,322.71136
FDG46,8.63,Regular,0.032909657,Snack Foods,112.9518,OUT046,1997,Small,Tier 1,Supermarket Type1,1877.8999
FDM20,10.0,Low Fat,0.06475210099999999,Fruits and Vegetables,243.3144,OUT010,1998,,Tier 3,Grocery Store,574.20404
FDW11,12.6,Low Fat,0.081651205,Breads,61.6194,OUT010,1998,,Tier 3,Grocery Store,141.56862
FDX08,12.85,Low Fat,0.022599777,Fruits and Vegetables,179.2318,OUT035,2004,Small,Tier 2,Supermarket Type1,3053.9053
NCK17,11.0,Low Fat,0.03788768,Health and Hygiene,40.648,OUT035,2004,Small,Tier 2,Supermarket Type1,659.2062
FDK32,16.25,Regular,0.049175079000000003,Fruits and Vegetables,151.5682,OUT018,2009,Medium,Tier 3,Supermarket Type2,2098.124
NCA42,6.965,Low Fat,0.028543185,Household,159.4604,OUT035,2004,Small,Tier 2,Supermarket Type1,2592.0767
DRI01,7.97,Low Fat,0.034446434,Soft Drinks,170.7422,OUT035,2004,Small,Tier 2,Supermarket Type1,2937.4976
NCL55,12.15,LF,0.0,Others,254.00400000000002,OUT049,1999,Medium,Tier 1,Supermarket Type1,3814.0881
DRE25,15.35,Low Fat,0.073581718,Soft Drinks,94.412,OUT018,2009,Medium,Tier 3,Supermarket Type2,1225.1667
FDD14,20.7,Low Fat,0.17076896100000002,Canned,183.5266,OUT017,2007,,Tier 2,Supermarket Type1,2733.3232
FDB10,10.0,Low Fat,0.067208123,Snack Foods,235.55900000000003,OUT046,1997,Small,Tier 1,Supermarket Type1,3548.8892
DRN11,7.85,Low Fat,0.162949459,Hard Drinks,145.0444,OUT035,2004,Small,Tier 2,Supermarket Type1,2287.2498
FDP38,10.1,Low Fat,0.032232864,Canned,50.9008,OUT018,2009,Medium,Tier 3,Supermarket Type2,623.2568
NCA30,19.0,Low Fat,0.130065297,Household,188.6872,OUT017,2007,,Tier 2,Supermarket Type1,2752.6567
FDT15,12.15,reg,0.042922946,Meat,184.695,OUT017,2007,,Tier 2,Supermarket Type1,3095.6257
NCP55,14.65,Low Fat,0.011235608000000001,Others,57.0614,OUT018,2009,Medium,Tier 3,Supermarket Type2,741.4228
FDF12,8.235,Low Fat,0.082412268,Baking Goods,148.5076,OUT035,2004,Small,Tier 2,Supermarket Type1,2213.8728
FDM21,20.2,Low Fat,0.06462627,Snack Foods,256.2646,OUT018,2009,Medium,Tier 3,Supermarket Type2,3743.0774
FDX56,17.1,Regular,0.07404547,Fruits and Vegetables,205.8638,OUT035,2004,Small,Tier 2,Supermarket Type1,3668.3103
FDF10,15.5,Regular,0.157816029,Snack Foods,145.4418,OUT017,2007,,Tier 2,Supermarket Type1,2521.5771
FDT32,19.0,Regular,0.065767041,Fruits and Vegetables,189.6214,OUT045,2002,,Tier 2,Supermarket Type1,2826.8586
FDM51,11.8,Regular,0.026031835,Meat,101.2674,OUT018,2009,Medium,Tier 3,Supermarket Type2,1270.7451
NCR50,20.2,Low Fat,0.011868237,Household,154.434,OUT018,2009,Medium,Tier 3,Supermarket Type2,2276.4065
FDI19,15.1,Low Fat,0.052420442000000005,Meat,242.4512,OUT049,1999,Medium,Tier 1,Supermarket Type1,3895.9395
FDX21,7.05,Low Fat,0.08544662300000001,Snack Foods,107.8912,OUT017,2007,,Tier 2,Supermarket Type1,1578.7667
FDR31,6.46,Regular,0.049153588,Fruits and Vegetables,145.3102,OUT035,2004,Small,Tier 2,Supermarket Type1,2438.6382
FDY02,8.945,Regular,0.08757299,Dairy,261.191,OUT013,1987,High,Tier 3,Supermarket Type1,3792.144
NCA29,10.5,Low Fat,0.0,Household,170.6106,OUT045,2002,,Tier 2,Supermarket Type1,2896.7666
NCX17,21.25,Low Fat,0.11360343199999999,Health and Hygiene,231.73,OUT046,1997,Small,Tier 1,Supermarket Type1,2826.726
FDM12,16.7,Regular,0.070058787,Baking Goods,190.3214,OUT045,2002,,Tier 2,Supermarket Type1,2835.6567
FDI53,,Regular,0.136978402,Frozen Foods,160.4236,OUT027,1985,Medium,Tier 3,Supermarket Type3,3783.415
NCU30,5.11,Low Fat,0.0,Household,164.12099999999998,OUT049,1999,Medium,Tier 1,Supermarket Type1,2836.5923
FDC56,,Low Fat,0.12093225099999999,Fruits and Vegetables,121.044,OUT027,1985,Medium,Tier 3,Supermarket Type3,2957.3557
FDK27,11.0,Low Fat,0.00898298,Meat,123.0756,OUT018,2009,Medium,Tier 3,Supermarket Type2,1567.261
NCK18,9.6,Low Fat,0.00673599,Household,166.4184,OUT017,2007,,Tier 2,Supermarket Type1,3167.4082
FDB52,,Low Fat,0.053288809000000006,Dairy,257.5672,OUT019,1985,Small,Tier 1,Grocery Store,382.8522
DRG25,,Low Fat,0.018957441999999998,Soft Drinks,188.324,OUT027,1985,Medium,Tier 3,Supermarket Type3,4969.627
FDZ13,7.84,reg,0.153733623,Canned,51.935,OUT049,1999,Medium,Tier 1,Supermarket Type1,732.7634
FDB57,,Regular,0.032925311,Fruits and Vegetables,223.5772,OUT019,1985,Small,Tier 1,Grocery Store,623.12506
FDR40,9.1,Regular,0.008034386999999999,Frozen Foods,82.5618,OUT046,1997,Small,Tier 1,Supermarket Type1,1246.9598
NCO14,,Low Fat,0.051902594,Household,44.7086,OUT019,1985,Small,Tier 1,Grocery Store,112.729645
NCN19,13.1,Low Fat,0.012124086000000001,Others,190.753,OUT045,2002,,Tier 2,Supermarket Type1,2643.0784
FDQ28,,Regular,0.105799985,Frozen Foods,155.0656,OUT019,1985,Small,Tier 1,Grocery Store,315.66577
FDO13,7.865,Low Fat,0.061308404000000004,Breakfast,164.8526,OUT018,2009,Medium,Tier 3,Supermarket Type2,2137.572
FDK48,7.445,Low Fat,0.0,Baking Goods,77.2354,OUT013,1987,High,Tier 3,Supermarket Type1,1127.6699
FDU07,11.1,Low Fat,0.060090767,Fruits and Vegetables,152.5366,OUT018,2009,Medium,Tier 3,Supermarket Type2,2014.912
FDW20,20.75,Low Fat,0.0,Fruits and Vegetables,123.37299999999999,OUT046,1997,Small,Tier 1,Supermarket Type1,2116.7598
FDV12,16.7,Regular,0.101891731,Baking Goods,98.7384,OUT010,1998,,Tier 3,Grocery Store,242.0556
FDH24,20.7,Low Fat,0.021413299,Baking Goods,158.2288,OUT013,1987,High,Tier 3,Supermarket Type1,2305.334
FDV59,13.35,Low Fat,0.048101713,Breads,216.0166,OUT049,1999,Medium,Tier 1,Supermarket Type1,3236.818
FDK57,10.195,Low Fat,0.08045572599999999,Snack Foods,120.14399999999999,OUT045,2002,,Tier 2,Supermarket Type1,1790.1669
FDL16,,Low Fat,0.16763712,Frozen Foods,45.506,OUT027,1985,Medium,Tier 3,Supermarket Type3,912.4188
NCQ17,10.3,Low Fat,0.116932555,Health and Hygiene,155.463,OUT046,1997,Small,Tier 1,Supermarket Type1,2428.4421
FDJ15,11.35,Regular,0.023417483,Dairy,185.1608,OUT018,2009,Medium,Tier 3,Supermarket Type2,2693.8855
FDX24,8.355,Low Fat,0.0,Baking Goods,93.5462,OUT049,1999,Medium,Tier 1,Supermarket Type1,1252.2783
FDT47,5.26,Regular,0.0,Breads,96.3068,OUT046,1997,Small,Tier 1,Supermarket Type1,1659.2354
FDT10,16.7,Regular,0.062140968,Snack Foods,60.8562,OUT049,1999,Medium,Tier 1,Supermarket Type1,738.963
FDZ37,8.1,Regular,0.019849032,Canned,87.7198,OUT018,2009,Medium,Tier 3,Supermarket Type2,1051.9889
FDW43,,Regular,0.022316641,Fruits and Vegetables,229.5036,OUT027,1985,Medium,Tier 3,Supermarket Type3,6512.171
DRN36,15.2,Low Fat,0.050461669,Soft Drinks,95.5752,OUT017,2007,,Tier 2,Supermarket Type1,1432.8999
FDJ14,10.3,Regular,0.05017202,Canned,80.596,OUT045,2002,,Tier 2,Supermarket Type1,1184.3795
FDA32,14.0,Low Fat,0.030069149,Fruits and Vegetables,217.4192,OUT013,1987,High,Tier 3,Supermarket Type1,3068.4756
FDJ38,,Regular,0.070394702,Canned,190.053,OUT019,1985,Small,Tier 1,Grocery Store,478.11823
FDQ57,7.275,Low Fat,0.0,Snack Foods,146.776,OUT017,2007,,Tier 2,Supermarket Type1,2211.8657
NCQ41,,Low Fat,0.0,Health and Hygiene,193.5794,OUT019,1985,Small,Tier 1,Grocery Store,382.55978
FDG56,13.3,Regular,0.07156365099999999,Fruits and Vegetables,59.9536,OUT049,1999,Medium,Tier 1,Supermarket Type1,915.5837
DRC13,,Regular,0.032284472,Soft Drinks,123.973,OUT027,1985,Medium,Tier 3,Supermarket Type3,3263.4282
FDV55,17.75,Low Fat,0.055063016,Fruits and Vegetables,144.5444,OUT035,2004,Small,Tier 2,Supermarket Type1,2494.1045
FDQ49,20.2,Regular,0.0,Breakfast,157.363,OUT045,2002,,Tier 2,Supermarket Type1,2377.6514
FDE29,8.905,Low Fat,0.23956881100000002,Frozen Foods,60.4878,OUT010,1998,,Tier 3,Grocery Store,153.02861
FDR03,15.7,Regular,0.0,Meat,205.798,OUT013,1987,High,Tier 3,Supermarket Type1,3444.6465
FDD45,8.615,Low Fat,0.0,Fruits and Vegetables,92.9436,OUT049,1999,Medium,Tier 1,Supermarket Type1,1318.7544
FDN38,6.615,Regular,0.153942031,Canned,249.7408,OUT010,1998,,Tier 3,Grocery Store,412.75922
FDT56,16.0,Regular,0.11559240900000001,Fruits and Vegetables,58.1246,OUT046,1997,Small,Tier 1,Supermarket Type1,736.75385
FDT48,4.92,low fat,0.046048229,Baking Goods,200.0084,OUT045,2002,,Tier 2,Supermarket Type1,2827.2498
FDU03,18.7,Regular,0.09172030199999999,Meat,180.8292,OUT049,1999,Medium,Tier 1,Supermarket Type1,2869.588
FDC56,7.72,LF,0.203400773,Fruits and Vegetables,118.944,OUT010,1998,,Tier 3,Grocery Store,205.3194
NCO43,,Low Fat,0.046870135,Others,99.3016,OUT027,1985,Medium,Tier 3,Supermarket Type3,2148.4155
FDQ27,5.19,Regular,0.044502932,Meat,101.699,OUT017,2007,,Tier 2,Supermarket Type1,1811.8741
FDR03,15.7,Regular,0.008735936,Meat,205.998,OUT046,1997,Small,Tier 1,Supermarket Type1,3539.1401
DRH23,14.65,Low Fat,0.285077835,Hard Drinks,54.1614,OUT010,1998,,Tier 3,Grocery Store,153.11559
FDG22,17.6,Regular,0.041465077999999995,Snack Foods,38.119,OUT045,2002,,Tier 2,Supermarket Type1,604.5584
NCJ42,19.75,Low Fat,0.014289425,Household,103.8332,OUT013,1987,High,Tier 3,Supermarket Type1,1568.2589
FDR24,17.35,Regular,0.06285168299999999,Baking Goods,90.583,OUT046,1997,Small,Tier 1,Supermarket Type1,1294.9332
FDW60,5.44,Regular,0.017058723,Baking Goods,176.037,OUT035,2004,Small,Tier 2,Supermarket Type1,2654.7004
FDJ08,11.1,Low Fat,0.110580006,Fruits and Vegetables,190.0846,OUT013,1987,High,Tier 3,Supermarket Type1,3118.5276
DRL59,16.75,Low Fat,0.021310584,Hard Drinks,52.2298,OUT018,2009,Medium,Tier 3,Supermarket Type2,663.20447
FDG60,20.35,Low Fat,0.101598896,Baking Goods,232.7616,OUT010,1998,,Tier 3,Grocery Store,446.72
FDW27,5.86,Regular,0.0,Meat,155.9314,OUT017,2007,,Tier 2,Supermarket Type1,1953.7196
FDX14,13.1,Low Fat,0.075245304,Dairy,77.1354,OUT018,2009,Medium,Tier 3,Supermarket Type2,1241.2003
FDC20,10.65,Low Fat,0.023951515,Fruits and Vegetables,56.0272,OUT013,1987,High,Tier 3,Supermarket Type1,733.7477
NCS29,9.0,Low Fat,0.069828759,Health and Hygiene,263.6884,OUT018,2009,Medium,Tier 3,Supermarket Type2,3248.5664
FDJ56,8.985,Low Fat,0.183403018,Fruits and Vegetables,100.47,OUT046,1997,Small,Tier 1,Supermarket Type1,1383.1742
FDB20,,Low Fat,0.09101143800000001,Fruits and Vegetables,77.0986,OUT019,1985,Small,Tier 1,Grocery Store,208.75589
FDL28,,Regular,0.062868628,Frozen Foods,228.6668,OUT027,1985,Medium,Tier 3,Supermarket Type3,5811.3604
FDW01,14.5,Low Fat,0.064321473,Canned,151.7682,OUT018,2009,Medium,Tier 3,Supermarket Type2,1939.1064
FDL03,19.25,Regular,0.027080602000000002,Meat,197.611,OUT046,1997,Small,Tier 1,Supermarket Type1,2527.0857
FDX22,6.785,Regular,0.023010532,Snack Foods,209.1928,OUT049,1999,Medium,Tier 1,Supermarket Type1,3859.5205
FDJ21,16.7,Regular,0.038520942999999995,Snack Foods,144.6102,OUT035,2004,Small,Tier 2,Supermarket Type1,2648.7473
FDR31,6.46,Regular,0.049262587999999996,Fruits and Vegetables,147.6102,OUT045,2002,,Tier 2,Supermarket Type1,2118.901
FDG21,17.35,Regular,0.146272238,Seafood,151.505,OUT035,2004,Small,Tier 2,Supermarket Type1,2697.739
FDS22,,Regular,0.023042273,Snack Foods,42.6428,OUT027,1985,Medium,Tier 3,Supermarket Type3,938.5294
FDK08,9.195,Regular,0.122281599,Fruits and Vegetables,99.4016,OUT035,2004,Small,Tier 2,Supermarket Type1,1567.1517
FDE17,20.1,Regular,0.054677324000000006,Frozen Foods,151.7366,OUT018,2009,Medium,Tier 3,Supermarket Type2,2008.7008
NCN30,16.35,Low Fat,0.017089325,Household,95.84100000000001,OUT017,2007,,Tier 2,Supermarket Type1,1468.6421
FDT50,6.75,Regular,0.108238986,Dairy,97.2752,OUT046,1997,Small,Tier 1,Supermarket Type1,1383.4945
NCX42,6.36,Low Fat,0.0059878909999999995,Household,163.6526,OUT049,1999,Medium,Tier 1,Supermarket Type1,2588.929
FDJ12,8.895,Regular,0.039033732,Baking Goods,207.8296,OUT035,2004,Small,Tier 2,Supermarket Type1,3658.5488
NCA18,,Low Fat,0.05580601599999999,Household,117.4492,OUT027,1985,Medium,Tier 3,Supermarket Type3,2801.451
FDP23,,Low Fat,0.062307997000000004,Breads,217.4166,OUT019,1985,Small,Tier 1,Grocery Store,362.8852
FDX12,18.2,reg,0.0,Baking Goods,241.4196,OUT013,1987,High,Tier 3,Supermarket Type1,4098.2275
FDN40,5.88,Low Fat,0.086808977,Frozen Foods,152.7998,OUT018,2009,Medium,Tier 3,Supermarket Type2,1999.9966
FDV48,9.195,Regular,0.051607098,Baking Goods,77.8644,OUT035,2004,Small,Tier 2,Supermarket Type1,1335.7122
NCY54,8.43,Low Fat,0.177546973,Household,171.9422,OUT013,1987,High,Tier 3,Supermarket Type1,2774.0798
FDL16,12.85,Low Fat,0.281955554,Frozen Foods,46.006,OUT010,1998,,Tier 3,Grocery Store,132.90857
FDR45,10.8,Low Fat,0.029061192000000003,Snack Foods,240.0222,OUT018,2009,Medium,Tier 3,Supermarket Type2,3242.576
FDJ52,7.145,Low Fat,0.017786864,Frozen Foods,161.0578,OUT046,1997,Small,Tier 1,Supermarket Type1,2304.604
DRG01,14.8,Low Fat,0.04513213,Soft Drinks,77.167,OUT017,2007,,Tier 2,Supermarket Type1,1336.669
FDP52,18.7,Regular,0.070632902,Frozen Foods,231.201,OUT013,1987,High,Tier 3,Supermarket Type1,3948.437
FDU58,6.61,Regular,0.029175827,Snack Foods,186.5898,OUT017,2007,,Tier 2,Supermarket Type1,2976.9631
FDL02,20.0,Regular,0.10429446,Canned,105.5622,OUT045,2002,,Tier 2,Supermarket Type1,1552.1581
FDG28,9.285,Regular,0.049239282,Frozen Foods,244.1144,OUT013,1987,High,Tier 3,Supermarket Type1,3898.2039
FDA19,7.52,Low Fat,0.055117075,Fruits and Vegetables,128.7994,OUT035,2004,Small,Tier 2,Supermarket Type1,1924.2334
FDW46,,Regular,0.069961219,Snack Foods,66.4484,OUT027,1985,Medium,Tier 3,Supermarket Type3,1840.7566
NCD43,8.85,Low Fat,0.016044864,Household,103.1964,OUT049,1999,Medium,Tier 1,Supermarket Type1,1422.8414
DRG39,14.15,Low Fat,0.042145893,Dairy,51.7982,OUT013,1987,High,Tier 3,Supermarket Type1,753.01654
NCF55,6.675,Low Fat,0.021700021,Household,35.5874,OUT049,1999,Medium,Tier 1,Supermarket Type1,633.5598
